Business_Name,ZCTA5,Public Address Street,Public Address City,Public Zip,Full Address,Geo,Operational_Status,Places_ID
Walgreens Pharmacy,45205,4241 Glenway Ave,Cincinnati,45205,"4241 Glenway Ave, Cincinnati, OH 45205, USA","39.1137899,-84.5845985",OPERATIONAL,ChIJ0TEG29-1QYgRx9X_bQEEY2M
Kroger Pharmacy,45211,6165 Glenway Ave,Cincinnati,45211,"6165 Glenway Ave, Cincinnati, OH 45211, USA","39.1426553,-84.6226859",OPERATIONAL,ChIJhx0o02fKQYgRq-eZseL0czY
Meijer Pharmacy,45245,888 Eastgate N Dr,Cincinnati,45245,"888 Eastgate N Dr, Cincinnati, OH 45245, USA","39.0979071,-84.2637847",OPERATIONAL,ChIJS_LAn6wAQYgRFZqegYS3dlM
Kroger Pharmacy,45102,262 W Main St,Amelia,45102,"262 W Main St, Amelia, OH 45102, USA","39.0359477,-84.232953",OPERATIONAL,ChIJbZXTQbQHQYgRJhYlGnjBn6E
Kroger Pharmacy,45245,4530 Eastgate Blvd Suite 500,Cincinnati,45245,"4530 Eastgate Blvd Suite 500, Cincinnati, OH 45245, USA","39.1029713,-84.2711161",OPERATIONAL,ChIJEbPmOgeqQYgRWsftmRJkwSw
CVS Pharmacy,45255,7410 Beechmont Ave,Cincinnati,45255,"7410 Beechmont Ave, Cincinnati, OH 45255, USA","39.073314599999996,-84.35066139999999",OPERATIONAL,ChIJU6POEjSpQYgRLKwwPvg4Gyk
Walgreens Pharmacy,45255,1982 8 Mile Rd,Cincinnati,45255,"1982 8 Mile Rd, Cincinnati, OH 45255, USA","39.087319199999996,-84.321382",OPERATIONAL,ChIJfxNhOHCpQYgRTyVeywAl4Qc
Kroger Pharmacy,45255,450 Ohio Pike,Cincinnati,45255,"450 Ohio Pike, Cincinnati, OH 45255, USA","39.0741023,-84.3111847",OPERATIONAL,ChIJt97uXaepQYgRPSJAINdWWjQ
Walgreens Pharmacy,45245,719 Ohio Pike,Cincinnati,45245,"719 Ohio Pike, Cincinnati, OH 45245, USA","39.064591799999995,-84.2878084",OPERATIONAL,ChIJXT3V5MipQYgRNYN7DGl8jw4
Walgreens Pharmacy,45102,57 W Main St,Amelia,45102,"57 W Main St, Amelia, OH 45102, USA","39.0309338,-84.2209299",OPERATIONAL,ChIJseolRzYGQYgRHRW_tKM9qPY
Kroger Pharmacy,45227,7385 Wooster Pike,Cincinnati,45227,"7385 Wooster Pike, Cincinnati, OH 45227, USA","39.1416033,-84.3616717",OPERATIONAL,ChIJAZ0QmX2sQYgRN6O6dHT54Nc
CVS Pharmacy,45245,947 Cincinnati-Batavia Pike,Cincinnati,45245,"947 Cincinnati-Batavia Pike, Cincinnati, OH 45245, USA","39.1003093,-84.2632637",OPERATIONAL,ChIJVYShQawAQYgRpj47azvRfD0
CVS Pharmacy,45255,8680 Beechmont Ave,Cincinnati,45255,"8680 Beechmont Ave, Cincinnati, OH 45255, USA","39.073394199999996,-84.31316079999999",OPERATIONAL,ChIJW89yigmpQYgRf8huHyeX5TU
Option Care Health,45150,50 W Techne Center Dr Suite J,Milford,45150,"50 W Techne Center Dr Suite J, Milford, OH 45150, USA","39.15300190000001,-84.2562768",OPERATIONAL,ChIJGcK6om4AQYgROavRLkPyVSA
Mercy Health - Clermont Hospital,45103,3000 Hospital Dr,Batavia,45103,"3000 Hospital Dr, Batavia, OH 45103, USA","39.0798998,-84.14453809999999",OPERATIONAL,ChIJE2j7tmIEQYgRW2IFxVuyVso
Kroger Pharmacy,45154,210 Sterling Run Blvd,Mt Orab,45154,"210 Sterling Run Blvd, Mt Orab, OH 45154, USA","39.039574099999996,-83.92411260000002",OPERATIONAL,ChIJ9XINKn0iQYgRnLm7XXGOx9w
CVS Pharmacy,45121,521 E State St,Georgetown,45121,"521 E State St, Georgetown, OH 45121, USA","38.8642061,-83.8970413",OPERATIONAL,ChIJN4Cbj64_QYgRyI5cRV2pv4I
CVS Pharmacy,45106,592 W Plane St,Bethel,45106,"592 W Plane St, Bethel, OH 45106, USA","38.964501,-84.08798329999999",OPERATIONAL,ChIJdRdCHzMQQYgR4jdBYcZo164
CVS Pharmacy,45102,52 W Main St,Amelia,45102,"52 W Main St, Amelia, OH 45102, USA","39.0298905,-84.2210106",OPERATIONAL,ChIJscfpYDYGQYgRNiYd3Vw_FNE
Donohoo Pharmacy,45121,114 S Main St,Georgetown,45121,"114 S Main St, Georgetown, OH 45121, USA","38.865617,-83.904729",OPERATIONAL,ChIJXU6947M_QYgRrliVlAANH9Y
CVS Pharmacy,45245,888 Eastgate N Dr,Cincinnati,45245,"888 Eastgate N Dr, Cincinnati, OH 45245, USA","39.0979071,-84.2637847",OPERATIONAL,ChIJcanevawAQYgRQ_SvXJUUToo
Sardinia Pharmacy,45171,7110 Bachman Dr #2,Sardinia,45171,"7110 Bachman Dr #2, Sardinia, OH 45171, USA","39.0135467,-83.809784",OPERATIONAL,ChIJ58SJ1uAkQYgR8CSVC9EeCvA
HealthSource of Ohio Pharmacy,45103,2055 Hospital Dr Suite 130-B,Batavia,45103,"2055 Hospital Dr Suite 130-B, Batavia, OH 45103, USA","39.0809867,-84.14463239999999",OPERATIONAL,ChIJPWhBs2IEQYgR4L3gyb7syEg
Fitzgerald's Pharmacy,45176,305 W Main St,Williamsburg,45176,"305 W Main St, Williamsburg, OH 45176, USA","39.054224,-84.053833",OPERATIONAL,ChIJrz8fs6gbQYgRoaCM3VmUEa4
Genoa Healthcare,45102,43 E Main St #113,Amelia,45102,"43 E Main St #113, Amelia, OH 45102, USA","39.0264741,-84.21449179999999",OPERATIONAL,ChIJrVbRtQsHQYgRRHG16S5uYxs
Fitzgerald's Pharmacy (Seaman),45679,17860 OH-247,Seaman,45679,"17860 OH-247, Seaman, OH 45679, USA","38.9417323,-83.5719463",OPERATIONAL,ChIJu01KQCLNRogRS59ky1U8sIE
Kratzer's Hometown Pharmacy Mount Orab,45154,155 North Point Dr,Mt Orab,45154,"155 North Point Dr, Mt Orab, OH 45154, USA","39.043552,-83.922872",OPERATIONAL,ChIJh3ioNJQjQYgR0IA7tC2VyvA
HealthSource of Ohio Seaman Pharmacy,45679,218 Stern Dr,Seaman,45679,"218 Stern Dr, Seaman, OH 45679, USA","38.9299295,-83.5645582",OPERATIONAL,ChIJowr6FOTMRogRPM8NDrB9PDQ
Walmart Pharmacy,45245,4370 Eastgate Square Dr,Cincinnati,45245,"4370 Eastgate Square Dr, Cincinnati, OH 45245, USA","39.0901782,-84.2697309",OPERATIONAL,ChIJofFaSPipQYgR9CQhmYVoFR4
Walmart Pharmacy,45102,1815 E Ohio Pike,Amelia,45102,"1815 E Ohio Pike, Amelia, OH 45102, USA","39.015808799999995,-84.1991433",OPERATIONAL,ChIJiSp8axgGQYgRlxV1s-URCck
Harness Health Pharmacy - Clermont,45103,2055 Hospital Dr Suite 100,Batavia,45103,"2055 Hospital Dr Suite 100, Batavia, OH 45103, USA","39.080887,-84.14483510000001",OPERATIONAL,ChIJp646Up8FQYgRAxB_gVXdZis
HealthSource of Ohio Pharmacy - Mt. Orab,45154,150 Health Partners Cir,Mt Orab,45154,"150 Health Partners Cir, Mt Orab, OH 45154, USA","39.0449811,-83.9413658",OPERATIONAL,ChIJdQuA9ZgiQYgR4UaToT8_VIA
Sam's Club Pharmacy,45245,815 Clepper Ln,Cincinnati,45245,"815 Clepper Ln, Cincinnati, OH 45245, USA","39.091322999999996,-84.2663978",OPERATIONAL,ChIJw0i9nlYHQYgRP3cPV3lMMWM
CVS Pharmacy,45150,1137 OH-131,Milford,45150,"1137 OH-131, Milford, OH 45150, USA","39.1746135,-84.2369532",OPERATIONAL,ChIJUd396igAQYgRvg9J05868Wc
Health Mart Pharmacy,45102,1400 OH-125,Amelia,45102,"1400 OH-125, Amelia, OH 45102, USA","39.038027299999996,-84.2312024",OPERATIONAL,ChIJK9Ix9LMHQYgR2LFc95MHZfU
Affirmed Medical Services,45150,5591 Autumn Wynd Ln,Milford,45150,"5591 Autumn Wynd Ln, Milford, OH 45150, USA","39.1717168,-84.2418667",OPERATIONAL,ChIJ80kORCQAQYgRZ09aEwygt_A
The Little Clinic,45102,262 W Main St,Amelia,45102,"262 W Main St, Amelia, OH 45102, USA","39.0361145,-84.23321609999999",OPERATIONAL,ChIJbZXTQbQHQYgRxaTxr-IsRSE
The Little Clinic,45154,210 Sterling Run Blvd,Mt Orab,45154,"210 Sterling Run Blvd, Mt Orab, OH 45154, USA","39.0395981,-83.92412089999999",OPERATIONAL,ChIJ9XINKn0iQYgRmbxwXHw-K2E
COVID-19 Drive-Thru Testing at Walgreens,45102,57 W Main St,Amelia,45102,"57 W Main St, Amelia, OH 45102, USA","39.0309014,-84.2209089",OPERATIONAL,ChIJq99GRzYGQYgRoDM0k3iK4wQ
Blake Pharmacy Inc.,45660,103 N Main St,Peebles,45660,"103 N Main St, Peebles, OH 45660, USA","38.949261899999996,-83.4060543",OPERATIONAL,ChIJ6StqJELFRogRWMJ4JKshMms
Adams County Veterinary Services - Dr. Dan Meakin,45693,125 S Manchester St,West Union,45693,"125 S Manchester St, West Union, OH 45693, USA","38.793098199999996,-83.5509678",OPERATIONAL,ChIJOewfRBm1RogRiO1TW5CLkwE
Blackburn's Pharmacy LLC,45662,3520 Rhodes Ave,New Boston,45662,"3520 Rhodes Ave, New Boston, OH 45662, USA","38.745989,-82.9445856",OPERATIONAL,ChIJlYEJgeSKRogRI0b1nWj8Sg4
Minford Pharmacy,45653,8746 OH-335,Minford,45653,"8746 OH-335, Minford, OH 45653, USA","38.8582031,-82.8572707",OPERATIONAL,ChIJ2V940i5ZRogRErNbXUBErF4
Holzer Family Pharmacy - Jackson,45640,280 Pattonsville Rd,Jackson,45640,"280 Pattonsville Rd, Jackson, OH 45640, USA","39.0507181,-82.6155143",OPERATIONAL,ChIJz4x8yAVLRogRhqRsoQZvSiY
Gahm's Pharmacy,45648,50 Center St,Lucasville,45648,"50 Center St, Lucasville, OH 45648, USA","38.8764074,-82.9975516",OPERATIONAL,ChIJwyxGEUzxRogRZj4km8VtX6g
HOLBROOK'S HOMETOWN PHARMACY,45648,37c W Lucasville-Minford Rd,Lucasville,45648,"37c W Lucasville-Minford Rd, Lucasville, OH 45648, USA","38.876511199999996,-82.9637595",OPERATIONAL,ChIJL0H1lJP2RogR7Lc4rB7yvQg
Kroger Pharmacy,45640,530 E Main St,Jackson,45640,"530 E Main St, Jackson, OH 45640, USA","39.0481628,-82.6300862",OPERATIONAL,ChIJP_s7OZ5LRogRCDIz0cD-9yE
Smith's Pharmacy,45682,11016 Main St,South Webster,45682,"11016 Main St, South Webster, OH 45682, USA","38.8136654,-82.7277763",OPERATIONAL,ChIJyUfGPM1cRogRwrR1q2te26k
Walgreens Pharmacy,45640,521 E Main St,Jackson,45640,"521 E Main St, Jackson, OH 45640, USA","39.0475706,-82.632289",OPERATIONAL,ChIJv6a0C3ZLRogRori_cotESyE
"Stultz Pharmacy Of Wheelersburg, Inc.",45694,8991 Ohio River Rd,Wheelersburg,45694,"8991 Ohio River Rd, Wheelersburg, OH 45694, USA","38.7151321,-82.8583833",OPERATIONAL,ChIJAQDQKw9hRogRXml7bbhtzp4
Brewster's Hometown Pharmacy,45661,104 Thornton Dr,Piketon,45661,"104 Thornton Dr, Piketon, OH 45661, USA","39.061250699999995,-83.01866059999999",OPERATIONAL,ChIJ49nzpoz9RogRNWCsHJv7gW8
SOMC Pharmacy Wheelersburg,45694,8770 Ohio River Rd,Wheelersburg,45694,"8770 Ohio River Rd, Wheelersburg, OH 45694, USA","38.7194441,-82.8576207",OPERATIONAL,ChIJPWYrW69hRogR1yWHRDP7e7g
Compass Community Health,45662,1634 11th St,Portsmouth,45662,"1634 11th St, Portsmouth, OH 45662, USA","38.738655,-82.98188859999999",OPERATIONAL,ChIJO5tycHeLRogRMN0boNZiI4c
Medi-Mart Prescription Pharmacy,45662,902 4th St,Portsmouth,45662,"902 4th St, Portsmouth, OH 45662, USA","38.7328743,-82.9936855",OPERATIONAL,ChIJX4necn-MRogR1DmF9qkYEp8
CVS Pharmacy,45656,407 N Front St,Oak Hill,45656,"407 N Front St, Oak Hill, OH 45656, USA","38.898613999999995,-82.5713074",OPERATIONAL,ChIJi9kcwPJHRogRfB_NcxIdW2c
SOMC Portsmouth Family Health Center,45662,1248 Kinneys Ln,Portsmouth,45662,"1248 Kinneys Ln, Portsmouth, OH 45662, USA","38.7460168,-82.98722769999999",OPERATIONAL,ChIJcQKCq2SLRogRwUE_6cOE07I
