excel_index,csv_index,excel_original,csv_original,normalized_address
524,1164,840 Brittain Rd,840 Brittain Rd,840 brittain rd
529,596,6300 E. MAIN STREET,6300 E Main St,6300 e main st
530,488,5045 N Main St,5045 N Main St,5045 n main st
531,1187,2654 Mccartney Rd,2654 McCartney Rd,2654 mccartney rd
534,137,3822 PAXTON AVE,3822 Paxton Ave,3822 paxton ave
537,548,3445 SOUTH HIGH STREET,3445 S High St,3445 s high st
538,1003,6421 MARKET AVENUE N,6421 Market Ave N,6421 market ave n
543,284,385 NORTHLAND BLVD.,385 Northland Blvd,385 northland blvd
545,1426,16400 CHAGRIN BLVD.,16400 Chagrin Blvd,16400 chagrin blvd
547,1007,1000 SOUTH MAIN ST.,1000 S Main St,1000 s main st
548,1121,1925 W. MARKET STREET,1925 W Market St,1925 w market st
552,1358,16803 LORAIN AVE.,16803 Lorain Ave,16803 lorain ave
560,53,719 OHIO PIKE,719 Ohio Pike,719 ohio pike
567,35,2320 BOUDINOT AVENUE,2320 Boudinot Ave,2320 boudinot ave
570,1536,9400 MENTOR AVENUE,9400 Mentor Ave,9400 mentor ave
570,1562,9400 MENTOR AVENUE,9400 Mentor Ave,9400 mentor ave
571,1181,7295 MARKET STREET,7295 Market St,7295 market st
574,123,9775 COLERAIN AVENUE,9775 Colerain Ave,9775 colerain ave
575,360,6485 WILMINGTON PIKE,6485 Wilmington Pike,6485 wilmington pike
576,364,4497 FAR HILLS AVENUE,4497 Far Hills Ave,4497 far hills ave
580,1122,900 WOOSTER ROAD NORTH,900 Wooster Road North,900 wooster road n
582,357,1542 WAYNE AVENUE,1542 Wayne Ave,1542 wayne ave
583,484,2710 SALEM AVENUE,2710 Salem Ave,2710 salem ave
586,1321,100 CLEVELAND STREET,100 Cleveland St,100 cleveland st
588,286,1090 HIGH STREET,1090 High St,1090 high st
590,1361,11701 DETROIT AVENUE,11701 Detroit Ave,11701 detroit ave
598,1190,804 W Market St,804 W Market St,804 w market st
601,1176,320 S. WATER STREET,320 S Water St,320 s water st
604,1542,132 RICHMOND STREET,132 Richmond St,132 richmond st
605,1277,2562 NAVARRE AVENUE,2562 Navarre Ave,2562 navarre ave
605,1284,2562 NAVARRE AVENUE,2562 Navarre Ave,2562 navarre ave
606,549,6805 HOSPITAL DRIVE,6805 Hospital Dr,6805 hospital dr
608,448,7900 E. BROAD STREET,7900 E Broad St,7900 e broad st
609,1269,4580 MONROE STREET,4580 Monroe St,4580 monroe st
611,590,3015 E. LIVINGSTON AVENUE,3015 E Livingston Ave,3015 e livingston ave
612,535,2770 W. BROAD STREET,2770 W Broad St,2770 w broad st
613,1125,805 N. COURT STREET,805 N Court St,805 n ct st
614,310,700 S. BREIEL BLVD,700 S Breiel Blvd,700 s breiel blvd
616,516,2609 E. MAIN STREET,2609 E Main St,2609 e main st
617,515,1880 S. LIMESTONE STREET,1880 S Limestone St,1880 s limestone st
620,1184,5501 MAHONING AVENUE,5501 Mahoning Ave,5501 mahoning ave
623,1194,2560 BELMONT AVE.,2560 Belmont Ave,2560 belmont ave
625,1191,5027 YOUNGSTOWN-WARREN RD,5027 Youngstown Warren Rd,5027 youngstown warren rd
628,372,183 E. DAYTON YELLOW SPRINGS RD,183 E Dayton Yellow Springs Rd,183 e dayton yellow springs rd
629,293,4610 PLEASANT AVENUE,4610 Pleasant Ave,4610 pleasant ave
631,45,4241 GLENWAY AVENUE,4241 Glenway Ave,4241 glenway ave
632,290,562 MAIN STREET,562 Main St,562 main st
633,322,2140 E. DOROTHY LANE,2140 E Dorothy Ln,2140 e dorothy ln
634,504,20 W. MARKET STREET,20 W Market St,20 w market st
635,179,904 COLUMBUS AVENUE,904 Columbus Ave,904 columbus ave
636,546,4890 NORTH HIGH STREET,4890 N High St,4890 n high st
638,128,4605 MONTGOMERY RD,4605 Montgomery Rd,4605 montgomery rd
639,840,701 N. CABLE RD,701 N Cable Rd,701 n cable rd
639,860,701 N. CABLE RD,701 N Cable Rd,701 n cable rd
640,122,1032 HARRISON AVENUE,1032 Harrison Ave,1032 harrison ave
642,54,57 W. MAIN STREET,57 W Main St,57 w main st
642,83,57 W. MAIN STREET,57 W Main St,57 w main st
642,616,57 W. MAIN STREET,57 W Main St,57 w main st
643,536,5690 W. BROAD STREET,5690 W Broad St,5690 w broad st
649,843,2366 HARDING HWY,2366 Harding Hwy,2366 harding hwy
649,859,2366 HARDING HWY,2366 Harding Hwy,2366 harding hwy
651,409,911 N. MEMORIAL DRIVE,911 N Memorial Dr,911 n memorial dr
