GISJOIN,FIPS,ADI_NATRANK,ADI_STATERNK
G39000300130003,390030130003,91,8
G39000300130004,390030130004,93,9
G39000300131001,390030131001,86,8
G39000300131002,390030131002,79,7
G39000300132001,390030132001,80,7
G39000300132002,390030132002,74,6
G39000300133001,390030133001,86,8
G39000300133002,390030133002,87,8
G39000300134001,390030134001,100,10
G39000300134002,390030134002,100,10
G39000300134003,390030134003,100,10
G39000300134004,390030134004,100,10
G39000300136001,390030136001,99,10
G39000300137001,390030137001,100,10
G39000300138001,390030138001,98,10
G39000300138002,390030138002,98,10
G39000300138003,390030138003,98,10
G39000300139001,390030139001,92,9
G39000300139002,390030139002,91,8
G39000300139003,390030139003,77,6
G39000300140001,390030140001,70,5
G39000300140002,390030140002,83,7
G39000300140003,390030140003,56,3
G39000300141001,390030141001,100,10
G39000300141002,390030141002,100,10
G39000300141003,390030141003,100,10
G39000509701011,390059701011,60,4
G39000509701021,390059701021,66,4
G39000509701022,390059701022,63,4
G39000509701023,390059701023,57,3
G39000509702001,390059702001,65,4
G39000509702002,390059702002,67,5
G39000509702003,390059702003,75,6
G39000509702004,390059702004,72,5
G39000509703001,390059703001,90,8
G39000509703002,390059703002,80,7
G39000509703003,390059703003,78,6
G39000509703004,390059703004,95,9
G39000509704001,390059704001,82,7
G39000509704002,390059704002,89,8
G39000509704003,390059704003,94,9
G39000509704004,390059704004,98,10
G39000509705001,390059705001,91,8
G39000509705002,390059705002,87,8
G39000509705003,390059705003,89,8
G39000509705004,390059705004,82,7
G39000509706001,390059706001,GQ,GQ
G39000509706002,390059706002,69,5
G39000509706003,390059706003,GQ,GQ
G39000509706004,390059706004,60,4
G39000509707001,390059707001,84,7
G39000509707002,390059707002,70,5
G39000509707003,390059707003,56,3
G39000509707004,390059707004,61,4
G39000509707005,390059707005,50,2
G39000509708001,390059708001,73,6
G39000509708002,390059708002,72,5
G39000509708003,390059708003,77,6
G39000509709001,390059709001,58,3
G39000509709002,390059709002,70,5
G39000509709003,390059709003,64,4
G39000509709004,390059709004,60,4
G39000509710001,390059710001,67,5
G39000509710002,390059710002,61,4
G39000509710003,390059710003,72,5
G39000509710004,390059710004,89,8
G39000509711001,390059711001,78,6
G39000509711002,390059711002,89,8
G39000509711003,390059711003,74,6
G39000509711004,390059711004,75,6
G39000700001011,390070001011,95,9
G39000700001012,390070001012,81,7
G39000700001013,390070001013,GQ,GQ
G39000700001021,390070001021,95,9
G39000700001022,390070001022,91,8
G39000700001023,390070001023,97,10
G39000700001024,390070001024,80,7
G39000700001031,390070001031,91,8
G39000700001032,390070001032,91,8
G39000700001033,390070001033,91,8
G39000700001034,390070001034,91,8
G39000700001035,390070001035,91,8
G39000700002001,390070002001,70,5
G39000700002002,390070002002,82,7
G39000700002003,390070002003,74,6
G39000700002004,390070002004,71,5
G39000700003001,390070003001,85,7
G39000700003002,390070003002,79,7
G39000700004001,390070004001,97,10
G39000700004002,390070004002,95,9
G39000700005001,390070005001,92,9
G39000700005002,390070005002,98,10
G39000700005003,390070005003,87,8
G39000700005004,390070005004,89,8
G39000700006011,390070006011,92,9
G39000700006012,390070006012,97,10
G39000700006013,390070006013,96,9
G39000700006021,390070006021,79,7
G39000700006022,390070006022,85,7
G39000700006023,390070006023,82,7
G39000700006024,390070006024,89,8
G39000700006031,390070006031,75,6
G39000700006032,390070006032,51,3
G39000700006033,390070006033,83,7
G39000700007011,390070007011,97,10
G39000700007012,390070007012,99,10
G39000700007013,390070007013,98,10
G39000700007021,390070007021,78,6
G39000700007022,390070007022,67,5
G39000700007023,390070007023,53,3
G39000700007031,390070007031,94,9
G39000700007032,390070007032,98,10
G39000700007033,390070007033,95,9
G39000700007034,390070007034,99,10
G39000700007041,390070007041,98,10
G39000700007042,390070007042,98,10
G39000700007043,390070007043,74,6
G39000700007044,390070007044,69,5
G39000700008011,390070008011,77,6
G39000700008012,390070008012,78,6
G39000700008021,390070008021,78,6
G39000700008022,390070008022,78,6
G39000700008023,390070008023,78,6
G39000700008024,390070008024,78,6
G39000700008025,390070008025,78,6
G39000700009001,390070009001,83,7
G39000700009002,390070009002,85,7
G39000700009003,390070009003,86,8
G39000700009004,390070009004,80,7
G39000700009005,390070009005,85,7
G39000700010011,390070010011,69,5
G39000700010012,390070010012,83,7
G39000700010013,390070010013,67,5
G39000700010014,390070010014,58,3
G39000700010021,390070010021,59,3
G39000700010022,390070010022,64,4
G39000700010023,390070010023,66,4
G39000700011011,390070011011,82,7
G39000700011012,390070011012,74,6
G39000700011021,390070011021,64,4
G39000700011022,390070011022,66,4
G39000700011023,390070011023,66,4
G39000700011024,390070011024,71,5
G39000700012011,390070012011,72,5
G39000700012012,390070012012,74,6
G39000700012013,390070012013,75,6
G39000700012021,390070012021,62,4
G39000700012022,390070012022,75,6
G39000700012023,390070012023,87,8
G39000700013011,390070013011,69,5
G39000700013012,390070013012,70,5
G39000700013013,390070013013,86,8
G39000700013014,390070013014,71,5
G39000700013031,390070013031,95,9
G39000700013032,390070013032,79,7
G39000700013041,390070013041,86,8
G39000700014011,390070014011,68,5
G39000700014012,390070014012,71,5
G39000700014021,390070014021,78,6
G39000700014022,390070014022,80,7
G39000700014023,390070014023,77,6
G39000709900000,390079900000,PH,PH
G39000909726001,390099726001,94,9
G39000909726002,390099726002,98,10
G39000909726003,390099726003,97,10
G39000909726004,390099726004,97,10
G39000909726005,390099726005,93,9
